ts,open,high,low,close,volume
2026-06-01T08:05:00+00:00,70.11,70.11,69.75,69.75,2385.923988
2026-06-01T08:45:00+00:00,69.9,69.9,69.9,69.9,198.0
2026-06-01T09:25:00+00:00,69.87,69.87,69.87,69.87,151.0
2026-06-01T10:10:00+00:00,70.0,70.0,70.0,70.0,151.0
2026-06-01T10:15:00+00:00,70.06,70.12,70.06,70.12,1917.0
2026-06-01T10:20:00+00:00,70.07,70.07,70.04,70.04,2556.0
2026-06-01T10:25:00+00:00,70.1777,70.1777,70.1777,70.1777,128.143114
2026-06-01T10:35:00+00:00,69.96,69.96,69.96,69.96,1400.0
2026-06-01T10:50:00+00:00,70.2,70.2,70.2,70.2,1585.0
2026-06-01T11:05:00+00:00,70.01,70.02,69.98,70.01,3433.007
2026-06-01T11:10:00+00:00,69.98,70.0,69.98,70.0,2660.0
2026-06-01T11:35:00+00:00,69.99,69.99,69.99,69.99,327.0
2026-06-01T12:15:00+00:00,69.96,69.96,69.92,69.92,696.0
2026-06-01T12:20:00+00:00,69.87,69.875,69.84,69.84,2280.0
2026-06-01T12:30:00+00:00,70.0,70.0,70.0,70.0,251.428061
2026-06-01T12:40:00+00:00,69.94,69.99,69.9205,69.99,6974.0
2026-06-01T12:55:00+00:00,69.9709,70.02,69.9709,69.98,981.0
2026-06-01T13:00:00+00:00,69.9785,69.98,69.9785,69.98,3221.0
2026-06-01T13:10:00+00:00,69.83,69.83,69.82,69.83,817.142658
2026-06-01T13:15:00+00:00,69.83,69.87,69.3,69.46,26153.0
2026-06-01T13:20:00+00:00,69.5,69.5,69.5,69.5,2159.0
2026-06-01T13:25:00+00:00,69.4,69.4,69.3,69.3,15586.817324
2026-06-01T13:30:00+00:00,69.29,69.38,69.29,69.37,17622.0
2026-06-01T13:35:00+00:00,69.38,69.51,69.14,69.225,1181014.817537
2026-06-01T13:40:00+00:00,69.22,69.565,69.195,69.52,1131925.890123
2026-06-01T13:45:00+00:00,69.52,69.54,69.38,69.425,702926.882612
2026-06-01T13:50:00+00:00,69.43,69.585,69.425,69.495,552527.8816989999
2026-06-01T13:55:00+00:00,69.495,69.565,69.33,69.33,1134316.937406
2026-06-01T14:00:00+00:00,69.31,69.32,69.16,69.17,363984.93935700005
2026-06-01T14:05:00+00:00,69.17,69.285,69.13,69.25,804850.043754
2026-06-01T14:10:00+00:00,69.26,69.485,69.25,69.475,393009.771893
2026-06-01T14:15:00+00:00,69.47,69.49,69.38,69.4,300567.078916
2026-06-01T14:20:00+00:00,69.4,69.56,69.335,69.39,1298607.702207
2026-06-01T14:25:00+00:00,69.395,69.51,69.365,69.45,365249.83649500005
2026-06-01T14:30:00+00:00,69.46,69.46,69.355,69.445,310601.379351
2026-06-01T14:35:00+00:00,69.445,69.61,69.41,69.515,447686.430618
2026-06-01T14:40:00+00:00,69.52,69.57,69.46,69.505,140955.87675
2026-06-01T14:45:00+00:00,69.505,69.595,69.495,69.53,354049.706831
2026-06-01T14:50:00+00:00,69.54,69.555,69.435,69.505,317559.302108
2026-06-01T14:55:00+00:00,69.5,69.55,69.455,69.515,276528.010063
2026-06-01T15:00:00+00:00,69.52,69.56,69.485,69.525,245575.45831500003
2026-06-01T15:05:00+00:00,69.53,69.54,69.445,69.515,302561.46017900005
2026-06-01T15:10:00+00:00,69.52,69.6,69.425,69.505,530196.942382
2026-06-01T15:15:00+00:00,69.51,69.63,69.5,69.615,459194.05894
2026-06-01T15:20:00+00:00,69.615,69.6751,69.595,69.6751,63523.650071
2026-06-01T15:25:00+00:00,69.6759,69.75,69.6759,69.68,120199.24025
2026-06-01T15:30:00+00:00,69.68,69.76,69.645,69.745,191819.38611999998
2026-06-01T15:35:00+00:00,69.745,69.94,69.74,69.86,1574201.983554
2026-06-01T15:40:00+00:00,69.87,69.9,69.795,69.83,342811.290535
2026-06-01T15:45:00+00:00,69.83,69.8701,69.805,69.85,151424.890182
2026-06-01T15:50:00+00:00,69.85,69.855,69.77,69.77,158490.66236100002
2026-06-01T15:55:00+00:00,69.77,69.8,69.75,69.79,161447.400477
2026-06-01T16:00:00+00:00,69.785,69.785,69.735,69.76,237127.71728299998
2026-06-01T16:05:00+00:00,69.76,69.88,69.755,69.8,496990.59606999997
2026-06-01T16:10:00+00:00,69.805,69.81,69.755,69.775,151633.269859
2026-06-01T16:15:00+00:00,69.775,69.785,69.685,69.72,277111.975968
2026-06-01T16:20:00+00:00,69.71,69.725,69.62,69.71,232127.50492699997
2026-06-01T16:25:00+00:00,69.71,69.78,69.71,69.77,72711.3599
2026-06-01T16:30:00+00:00,69.775,69.84,69.77,69.83,218941.972691
2026-06-01T16:35:00+00:00,69.83,69.88,69.795,69.81,437084.527036
2026-06-01T16:40:00+00:00,69.81,69.8351,69.78,69.82,138804.087841
2026-06-01T16:45:00+00:00,69.82,69.83,69.79,69.795,173926.02951900003
2026-06-01T16:50:00+00:00,69.795,69.86,69.77,69.8598,308045.170655
2026-06-01T16:55:00+00:00,69.86,70.06,69.84,70.05,489056.74675000005
2026-06-01T17:00:00+00:00,70.05,70.135,70.02,70.135,208412.406185
2026-06-01T17:05:00+00:00,70.135,70.15,70.04,70.04,549520.143387
2026-06-01T17:10:00+00:00,70.05,70.075,70.0,70.01,194535.588413
2026-06-01T17:15:00+00:00,70.01,70.1,70.01,70.05,113881.495624
2026-06-01T17:20:00+00:00,70.045,70.07,70.03,70.06,58888.836878
2026-06-01T17:25:00+00:00,70.0551,70.105,70.05,70.085,126699.452256
2026-06-01T17:30:00+00:00,70.085,70.32,70.06,70.305,408621.93948500004
2026-06-01T17:35:00+00:00,70.31,70.36,70.225,70.24,832606.4085659999
2026-06-01T17:40:00+00:00,70.24,70.28,70.23,70.25,275792.474239
2026-06-01T17:45:00+00:00,70.25,70.51,70.25,70.41,1385091.067395
2026-06-01T17:50:00+00:00,70.405,70.46,70.395,70.4,297769.82712800003
2026-06-01T17:55:00+00:00,70.4001,70.435,70.39,70.4,557268.9297239999
2026-06-01T18:00:00+00:00,70.4,70.4378,70.39,70.4,628286.2951100001
2026-06-01T18:05:00+00:00,70.4,70.405,70.36,70.365,144743.029988
