ts,open,high,low,close,volume
2024-09-20T08:05:00+00:00,118.15,118.15,117.62,117.68,92785.0
2024-09-20T08:10:00+00:00,117.66,117.8,117.56,117.64,103326.0
2024-09-20T08:15:00+00:00,117.64,117.64,116.94,116.94,157161.0
2024-09-20T08:20:00+00:00,118.15,118.15,116.94,117.28,439538.0
2024-09-20T08:25:00+00:00,117.27,117.35,116.97,117.01,86663.0
2024-09-20T08:30:00+00:00,117.05,117.1,116.63,116.67,77002.0
2024-09-20T08:35:00+00:00,116.63,116.98,116.61,116.76,65946.0
2024-09-20T08:40:00+00:00,117.27,117.35,116.61,117.14,277845.0
2024-09-20T08:45:00+00:00,117.16,117.25,116.99,116.99,40029.0
2024-09-20T08:50:00+00:00,117.01,117.24,116.99,117.12,25405.0
2024-09-20T08:55:00+00:00,117.22,117.29,117.11,117.12,37340.0
2024-09-20T09:00:00+00:00,117.16,117.29,116.99,117.16,114546.0
2024-09-20T09:05:00+00:00,117.16,117.29,117.16,117.23,20404.0
2024-09-20T09:10:00+00:00,117.21,117.28,117.12,117.18,31014.0
2024-09-20T09:15:00+00:00,117.18,117.31,117.14,117.25,22542.0
2024-09-20T09:20:00+00:00,117.16,117.39,117.12,117.33,96903.0
2024-09-20T09:25:00+00:00,117.32,117.32,117.14,117.22,15004.0
2024-09-20T09:30:00+00:00,117.24,117.27,117.01,117.18,21543.0
2024-09-20T09:35:00+00:00,117.15,117.15,116.93,117.03,24050.0
2024-09-20T09:40:00+00:00,117.32,117.32,116.8,116.86,101980.0
2024-09-20T09:45:00+00:00,116.87,117.0,116.85,116.9,15672.0
2024-09-20T09:50:00+00:00,116.9,117.14,116.9,117.1,20860.0
2024-09-20T09:55:00+00:00,117.1,117.14,116.95,116.96,26208.0
2024-09-20T10:00:00+00:00,116.87,117.14,116.85,116.87,87348.0
2024-09-20T10:05:00+00:00,116.86,116.95,116.83,116.9,12754.0
2024-09-20T10:10:00+00:00,116.9,116.94,116.75,116.88,33280.0
2024-09-20T10:15:00+00:00,116.86,117.04,116.85,116.99,11185.0
2024-09-20T10:20:00+00:00,116.86,117.04,116.75,117.0,69116.0
2024-09-20T10:25:00+00:00,117.02,117.16,117.0,117.14,17173.0
2024-09-20T10:30:00+00:00,117.15,117.2,117.04,117.05,14656.0
2024-09-20T10:35:00+00:00,117.05,117.08,116.9,116.98,12793.0
2024-09-20T10:40:00+00:00,117.02,117.2,116.9,117.06,48458.0
2024-09-20T10:45:00+00:00,117.07,117.13,117.06,117.06,7290.0
2024-09-20T10:50:00+00:00,117.05,117.05,116.85,116.87,23279.0
2024-09-20T10:55:00+00:00,116.86,116.92,116.8,116.85,21581.0
2024-09-20T11:00:00+00:00,117.07,117.13,116.65,116.8,108932.0
2024-09-20T11:05:00+00:00,116.8,117.03,116.8,116.88,114990.0
2024-09-20T11:10:00+00:00,116.9,116.91,116.76,116.81,64601.0
2024-09-20T11:15:00+00:00,116.83,116.85,116.74,116.8,49683.0
2024-09-20T11:20:00+00:00,116.8,117.03,116.74,116.97,263470.0
2024-09-20T11:25:00+00:00,116.97,117.0,116.88,116.96,39402.0
2024-09-20T11:30:00+00:00,116.96,117.0,116.88,116.93,48046.0
2024-09-20T11:35:00+00:00,116.94,116.95,116.831,116.86,32147.0
2024-09-20T11:40:00+00:00,116.97,117.0,116.8,116.83,149655.0
2024-09-20T11:45:00+00:00,116.86,117.06,116.811,117.04,100362.0
2024-09-20T11:50:00+00:00,117.04,117.04,116.91,116.99,29591.0
2024-09-20T11:55:00+00:00,116.98,117.02,116.88,116.95,39364.0
2024-09-20T12:00:00+00:00,116.86,117.06,116.811,117.02,231239.0
2024-09-20T12:05:00+00:00,116.93,118.38,116.66,117.19,775892.0
2024-09-20T12:10:00+00:00,117.18,117.87,117.111,117.41,241357.0
2024-09-20T12:15:00+00:00,117.42,117.44,117.2695,117.38,164184.0
2024-09-20T12:20:00+00:00,116.93,118.38,116.66,117.22,1385804.0
2024-09-20T12:25:00+00:00,117.239,117.2775,117.1,117.1,103819.0
2024-09-20T12:30:00+00:00,117.11,117.26,117.1,117.26,99990.0
2024-09-20T12:35:00+00:00,117.25,117.45,117.22,117.41,154792.0
