ts,open,high,low,close,volume
2024-09-20T08:05:00+00:00,99.5,99.62,99.49,99.61,9936.0
2024-09-20T08:10:00+00:00,99.64,99.65,99.61,99.63,36442.0
2024-09-20T08:15:00+00:00,99.63,99.67,99.61,99.63,42396.0
2024-09-20T08:20:00+00:00,99.5,99.67,99.49,99.65,146628.0
2024-09-20T08:25:00+00:00,99.68,99.68,99.65,99.65,3769.0
2024-09-20T08:30:00+00:00,99.66,99.71,99.64,99.71,27561.0
2024-09-20T08:35:00+00:00,99.7,99.71,99.7,99.7,1558.0
2024-09-20T08:40:00+00:00,99.68,99.71,99.64,99.68,89243.0
2024-09-20T08:50:00+00:00,99.67,99.67,99.66,99.67,25740.0
2024-09-20T08:55:00+00:00,99.66,99.68,99.66,99.68,2249.0
2024-09-20T09:00:00+00:00,99.67,99.68,99.63,99.66,29143.0
2024-09-20T09:05:00+00:00,99.65,99.69,99.65,99.69,6081.0
2024-09-20T09:10:00+00:00,99.67,99.7,99.67,99.7,520.0
2024-09-20T09:15:00+00:00,99.68,99.68,99.67,99.68,26889.0
2024-09-20T09:20:00+00:00,99.65,99.7,99.65,99.67,35367.0
2024-09-20T09:25:00+00:00,99.67,99.67,99.65,99.65,26554.0
2024-09-20T09:30:00+00:00,99.66,99.66,99.64,99.64,934.0
2024-09-20T09:35:00+00:00,99.64,99.64,99.64,99.64,425.0
2024-09-20T09:40:00+00:00,99.67,99.67,99.59,99.6,39585.0
2024-09-20T09:45:00+00:00,99.59,99.59,99.58,99.58,14064.0
2024-09-20T09:50:00+00:00,99.56,99.56,99.53,99.56,5976.0
2024-09-20T09:55:00+00:00,99.52,99.52,99.52,99.52,561.0
2024-09-20T10:00:00+00:00,99.59,99.59,99.49,99.5,25623.0
2024-09-20T10:05:00+00:00,99.48,99.48,99.45,99.45,1235.0
2024-09-20T10:10:00+00:00,99.45,99.45,99.44,99.44,2907.0
2024-09-20T10:15:00+00:00,99.43,99.44,99.42,99.42,1342.0
2024-09-20T10:20:00+00:00,99.48,99.48,99.42,99.42,5700.0
2024-09-20T10:25:00+00:00,99.47,99.47,99.42,99.42,2070.0
2024-09-20T10:30:00+00:00,99.42,99.43,99.38,99.38,2204.0
2024-09-20T10:35:00+00:00,99.37,99.39,99.37,99.38,1344.0
2024-09-20T10:40:00+00:00,99.47,99.47,99.36,99.36,6773.0
2024-09-20T10:45:00+00:00,99.36,99.36,99.36,99.36,308.0
2024-09-20T10:50:00+00:00,99.36,99.36,99.35,99.35,743.0
2024-09-20T10:55:00+00:00,99.34,99.34,99.32,99.33,3230.0
2024-09-20T11:00:00+00:00,99.36,99.36,99.32,99.32,4698.0
2024-09-20T11:05:00+00:00,99.31,99.35,99.31,99.35,34947.0
2024-09-20T11:10:00+00:00,99.33,99.33,99.28,99.28,6821.0
2024-09-20T11:15:00+00:00,99.29,99.309,99.26,99.26,11987.0
2024-09-20T11:20:00+00:00,99.31,99.35,99.26,99.26,53755.0
2024-09-20T11:25:00+00:00,99.26,99.26,99.17,99.19,4878.0
2024-09-20T11:30:00+00:00,99.17,99.17,99.16,99.17,7712.0
2024-09-20T11:35:00+00:00,99.16,99.17,99.15,99.15,6764.0
2024-09-20T11:40:00+00:00,99.26,99.26,99.12,99.149,22180.0
2024-09-20T11:45:00+00:00,99.14,99.19,99.14,99.18,57062.0
2024-09-20T11:50:00+00:00,99.21,99.21,99.16,99.18,19928.0
2024-09-20T11:55:00+00:00,99.19,99.19,99.16,99.16,6055.0
2024-09-20T12:00:00+00:00,99.14,99.21,99.14,99.17,101255.0
2024-09-20T12:05:00+00:00,99.3,99.6604,99.1056,99.22,811235.0
2024-09-20T12:10:00+00:00,99.22,99.23,99.2,99.2,11482.0
2024-09-20T12:15:00+00:00,99.2,99.23,99.18,99.19,71995.0
2024-09-20T12:20:00+00:00,99.3,99.6604,99.1056,99.2,954140.0
2024-09-20T12:25:00+00:00,99.2088,99.2705,99.19,99.27,106252.0
2024-09-20T12:30:00+00:00,99.29,99.48,99.28,99.48,66206.0
2024-09-20T12:35:00+00:00,99.49,99.5,99.39,99.42,32891.0
2024-09-20T12:40:00+00:00,99.2088,99.5,99.19,99.35,211653.0
2024-09-20T12:45:00+00:00,99.35,99.39,99.33,99.34,102647.0
2024-09-20T12:50:00+00:00,99.38,99.38,99.27,99.27,78262.0
2024-09-20T12:55:00+00:00,99.27,99.27,99.12,99.13,35485.0
2024-09-20T13:00:00+00:00,99.35,99.39,99.12,99.14,236763.0
2024-09-20T13:05:00+00:00,99.14,99.2298,99.14,99.16,15247.0
2024-09-20T13:10:00+00:00,99.1599,99.19,99.1195,99.16,5698.0
2024-09-20T13:15:00+00:00,99.16,99.2,99.14,99.15,13243.0
2024-09-20T13:20:00+00:00,99.14,99.2298,99.08,99.14,55282.0
2024-09-20T13:25:00+00:00,99.12,99.13,99.02,99.03,25420.0
2024-09-20T13:30:00+00:00,99.03,99.06,98.99,98.99,53726.0
2024-09-20T13:35:00+00:00,98.99,99.07,98.885,98.905,1610736.0
2024-09-20T13:40:00+00:00,99.12,99.13,98.82,98.955,3017791.0
2024-09-20T13:45:00+00:00,98.955,99.035,98.91,99.035,553481.0
2024-09-20T13:50:00+00:00,99.03,99.04,98.97,99.0,279544.0
2024-09-20T13:55:00+00:00,99.0,99.05,98.975,99.005,309651.0
2024-09-20T14:00:00+00:00,98.955,99.05,98.91,99.005,1449924.0
2024-09-20T14:05:00+00:00,99.01,99.02,98.94,98.985,639948.0
2024-09-20T14:10:00+00:00,98.99,99.01,98.94,98.96,230622.0
2024-09-20T14:15:00+00:00,98.955,98.9799,98.86,98.88,501843.0
2024-09-20T14:20:00+00:00,99.01,99.02,98.86,98.9,1776963.0
2024-09-20T14:25:00+00:00,98.9,98.92,98.845,98.8601,222016.0
2024-09-20T14:30:00+00:00,98.865,98.89,98.82,98.87,359308.0
2024-09-20T14:35:00+00:00,98.86,98.89,98.83,98.855,350671.0
2024-09-20T14:40:00+00:00,98.9,98.92,98.82,98.855,1153717.0
2024-09-20T14:45:00+00:00,98.855,98.89,98.83,98.84,254451.0
2024-09-20T14:50:00+00:00,98.834,98.89,98.8,98.88,295879.0
2024-09-20T14:55:00+00:00,98.89,98.89,98.82,98.855,250427.0
2024-09-20T15:00:00+00:00,98.855,98.89,98.8,98.86,1051997.0
2024-09-20T15:05:00+00:00,98.865,98.87,98.83,98.8365,148359.0
