ts,open,high,low,close,volume
2026-06-01T08:05:00+00:00,132.5,132.89,130.93,132.4,70758.859341
2026-06-01T08:10:00+00:00,132.73,132.73,131.91,132.6114,10883.498912
2026-06-01T08:15:00+00:00,132.61,132.9,132.61,132.82,3043.576685
2026-06-01T08:20:00+00:00,132.88,133.15,132.88,133.15,8638.548754
2026-06-01T08:25:00+00:00,133.17,133.217,133.04,133.12,3595.690333
2026-06-01T08:30:00+00:00,133.14,133.22,133.02,133.18,3247.925387
2026-06-01T08:35:00+00:00,133.18,133.51,133.12,133.38,10359.4175
2026-06-01T08:40:00+00:00,133.42,133.42,133.4165,133.4165,740.693344
2026-06-01T08:45:00+00:00,133.5,133.63,133.4,133.4,1865.01582
2026-06-01T08:50:00+00:00,133.4,133.72,133.33,133.33,25100.0
2026-06-01T08:55:00+00:00,133.2,133.28,133.0,133.28,6589.912038
2026-06-01T09:00:00+00:00,133.22,133.3122,133.14,133.14,2939.0
2026-06-01T09:05:00+00:00,133.0,133.01,132.8,132.8,2857.1238439999997
2026-06-01T09:10:00+00:00,132.8314,133.17,132.8314,133.16,515.906207
2026-06-01T09:15:00+00:00,133.35,133.3796,133.35,133.3796,1129.007441
2026-06-01T09:20:00+00:00,133.5,133.56,133.5,133.52,867.01418
2026-06-01T09:25:00+00:00,133.51,133.71,133.49,133.71,4461.0
2026-06-01T09:30:00+00:00,133.61,133.62,133.56,133.56,1952.0
2026-06-01T09:35:00+00:00,133.29,133.29,133.29,133.29,396.0
2026-06-01T09:40:00+00:00,133.26,133.26,133.11,133.11,774.2536749999999
2026-06-01T09:45:00+00:00,133.12,133.13,133.01,133.01,3167.8465
2026-06-01T09:50:00+00:00,133.15,133.15,133.15,133.15,300.0
2026-06-01T09:55:00+00:00,133.17,133.2,133.12,133.18,4304.0
2026-06-01T10:00:00+00:00,133.2,133.2,133.11,133.12,4093.0
2026-06-01T10:05:00+00:00,133.0,133.17,132.89,133.17,4068.0187389999996
2026-06-01T10:10:00+00:00,133.21,133.27,132.75,132.75,11259.887327
2026-06-01T10:15:00+00:00,132.71,132.71,132.64,132.7,3177.0
2026-06-01T10:20:00+00:00,132.66,132.79,132.66,132.79,957.0
2026-06-01T10:25:00+00:00,132.8,132.8,132.8,132.8,505.0
2026-06-01T10:30:00+00:00,132.68,132.72,132.68,132.72,1553.0
2026-06-01T10:35:00+00:00,132.79,132.9,132.74,132.9,2203.0
2026-06-01T10:40:00+00:00,132.84,133.06,132.84,133.06,1886.3727
2026-06-01T10:45:00+00:00,133.03,133.04,132.95,132.97,2053.390014
2026-06-01T10:50:00+00:00,132.92,132.92,132.92,132.92,341.0
2026-06-01T10:55:00+00:00,132.84,132.88,132.79,132.88,2439.0
2026-06-01T11:00:00+00:00,132.79,132.87,132.77,132.87,7811.0
2026-06-01T11:05:00+00:00,132.82,132.84,132.29,132.75,117810.32259600001
2026-06-01T11:10:00+00:00,132.79,133.05,132.78,132.81,29360.078768
2026-06-01T11:15:00+00:00,132.87,133.0078,132.8219,132.92,21364.582202
2026-06-01T11:20:00+00:00,132.8004,132.84,132.65,132.6522,5267.622221
2026-06-01T11:25:00+00:00,132.58,132.6,132.47,132.6,23149.56943
2026-06-01T11:30:00+00:00,132.6198,132.75,132.6198,132.7088,2007.287765
2026-06-01T11:35:00+00:00,132.7,132.71,132.48,132.48,2904.0
2026-06-01T11:40:00+00:00,132.6,132.633,132.35,132.35,2691.824111
2026-06-01T11:45:00+00:00,132.31,132.54,132.29,132.4767,2738.37831
2026-06-01T11:50:00+00:00,132.49,132.71,132.49,132.71,1964.0
2026-06-01T11:55:00+00:00,132.5,132.53,132.39,132.49,15239.0
2026-06-01T12:00:00+00:00,132.53,132.53,132.1927,132.1927,3882.80949
2026-06-01T12:05:00+00:00,132.29,132.3896,132.24,132.38,2996.06
2026-06-01T12:10:00+00:00,132.36,132.5,132.3,132.3,7194.376531
2026-06-01T12:15:00+00:00,132.5,132.6,132.49,132.51,13115.879573
2026-06-01T12:20:00+00:00,132.4,132.41,132.1112,132.36,10718.0
2026-06-01T12:25:00+00:00,132.3,132.31,131.86,131.86,16157.085573
2026-06-01T12:30:00+00:00,131.82,131.82,131.52,131.8005,18990.526073
2026-06-01T12:35:00+00:00,131.86,131.88,131.53,131.86,12183.107583
