      variant   tf |  TUNE n     expR   win%    DD% |  HOLD n     expR   win%    DD%
     original   2m |     296   +0.339   44.6  12.80 |     281   +0.254   43.1  10.16
  pure-invert   2m |     272   +0.589   51.8   7.15 |     251   +0.503   50.2  10.10
 continuation   2m |     276   +0.617   52.9   8.25 |     255   +0.411   47.8  10.75

     original   5m |     170   -0.006   35.3  12.85 |     139   +0.023   33.8  10.14
  pure-invert   5m |     149   +0.163   40.9   8.47 |     131   +0.148   36.6   8.22
 continuation   5m |     149   +0.163   40.9   8.47 |     133   +0.158   36.8   8.22

     original  10m |      93   -0.030   36.6   9.99 |      75   -0.360   25.3  15.68
  pure-invert  10m |      83   +0.036   34.9   8.69 |      65   -0.381   24.6  15.07
 continuation  10m |      83   +0.036   34.9   8.69 |      66   -0.391   24.2  15.54

