
=== 20m  policy=hybrid ===
  L=-1.00  | TUNE n=   95 win= 41.1% exp=$   -8.13 PF= 0.97 net=$      -772 DD=$   +7,416 | HOLD n=   91 win= 35.2% exp=$ -132.67 PF= 0.55 net=$   -12,073 DD=$  +13,518
  L=-0.75  | TUNE n=   96 win= 41.7% exp=$   -4.39 PF= 0.98 net=$      -421 DD=$   +7,442 | HOLD n=   92 win= 35.9% exp=$ -130.37 PF= 0.56 net=$   -11,994 DD=$  +13,440
  L=-0.50  | TUNE n=   98 win= 40.8% exp=$  -16.74 PF= 0.94 net=$    -1,640 DD=$   +7,442 | HOLD n=   96 win= 37.5% exp=$ -114.81 PF= 0.59 net=$   -11,022 DD=$  +12,467
  L=-0.25  | TUNE n=   98 win= 40.8% exp=$  -17.22 PF= 0.94 net=$    -1,687 DD=$   +7,438 | HOLD n=   97 win= 38.1% exp=$ -110.52 PF= 0.61 net=$   -10,721 DD=$  +12,166
  L=+0.00  | TUNE n=  102 win= 40.2% exp=$  -34.62 PF= 0.88 net=$    -3,532 DD=$   +8,605 | HOLD n=  101 win= 37.6% exp=$ -114.42 PF= 0.59 net=$   -11,556 DD=$  +13,002
  L=+0.25  | TUNE n=  108 win= 39.8% exp=$  -38.04 PF= 0.87 net=$    -4,109 DD=$   +8,566 | HOLD n=  105 win= 37.1% exp=$ -103.46 PF= 0.63 net=$   -10,863 DD=$  +11,684
  L=+0.50  | TUNE n=  111 win= 39.6% exp=$  -56.40 PF= 0.81 net=$    -6,260 DD=$   +9,382 | HOLD n=  108 win= 37.0% exp=$  -93.50 PF= 0.67 net=$   -10,098 DD=$  +10,919
  L=+0.75  | TUNE n=  115 win= 41.7% exp=$  -31.33 PF= 0.89 net=$    -3,603 DD=$   +9,311 | HOLD n=  109 win= 36.7% exp=$  -97.63 PF= 0.65 net=$   -10,641 DD=$  +11,462
  L=+1.00  | TUNE n=  118 win= 42.4% exp=$  -14.77 PF= 0.95 net=$    -1,743 DD=$   +7,800 | HOLD n=  114 win= 36.8% exp=$ -104.35 PF= 0.63 net=$   -11,896 DD=$  +12,717

=== 30m  policy=hybrid ===
  L=-1.00  | TUNE n=   59 win= 42.4% exp=$  -61.05 PF= 0.78 net=$    -3,602 DD=$   +7,051 | HOLD n=   64 win= 40.6% exp=$  -22.23 PF= 0.92 net=$    -1,423 DD=$   +4,140
  L=-0.75  | TUNE n=   63 win= 41.3% exp=$  -72.83 PF= 0.73 net=$    -4,588 DD=$   +7,720 | HOLD n=   67 win= 41.8% exp=$   +7.49 PF= 1.03 net=$      +502 DD=$   +5,034
  L=-0.50  | TUNE n=   67 win= 41.8% exp=$  -60.43 PF= 0.77 net=$    -4,049 DD=$   +8,215 | HOLD n=   67 win= 41.8% exp=$   +7.49 PF= 1.03 net=$      +502 DD=$   +5,034
  L=-0.25  | TUNE n=   68 win= 41.2% exp=$  -62.92 PF= 0.76 net=$    -4,278 DD=$   +8,230 | HOLD n=   72 win= 40.3% exp=$   -0.59 PF= 1.00 net=$       -43 DD=$   +5,888
  L=+0.00  | TUNE n=   71 win= 39.4% exp=$  -74.45 PF= 0.72 net=$    -5,286 DD=$   +8,921 | HOLD n=   78 win= 42.3% exp=$  +38.96 PF= 1.15 net=$    +3,039 DD=$   +5,481
  L=+0.25  | TUNE n=   73 win= 38.4% exp=$  -80.29 PF= 0.69 net=$    -5,861 DD=$   +9,480 | HOLD n=   82 win= 40.2% exp=$  +12.70 PF= 1.05 net=$    +1,042 DD=$   +7,147
  L=+0.50  | TUNE n=   75 win= 37.3% exp=$  -82.08 PF= 0.68 net=$    -6,156 DD=$   +9,762 | HOLD n=   84 win= 39.3% exp=$  -11.92 PF= 0.96 net=$    -1,001 DD=$   +8,188
  L=+0.75  | TUNE n=   76 win= 36.8% exp=$  -81.09 PF= 0.69 net=$    -6,163 DD=$   +9,525 | HOLD n=   88 win= 38.6% exp=$  -20.65 PF= 0.92 net=$    -1,817 DD=$   +8,699
  L=+1.00  | TUNE n=   79 win= 39.2% exp=$  -61.16 PF= 0.77 net=$    -4,832 DD=$   +8,229 | HOLD n=   91 win= 39.6% exp=$  -21.53 PF= 0.92 net=$    -1,959 DD=$   +8,938

=== 10m  policy=hybrid ===
  L=-1.00  | TUNE n=  154 win= 38.3% exp=$  -52.98 PF= 0.83 net=$    -8,159 DD=$   +9,791 | HOLD n=  121 win= 48.8% exp=$  +13.78 PF= 1.05 net=$    +1,667 DD=$   +6,417
  L=-0.75  | TUNE n=  156 win= 37.8% exp=$  -49.66 PF= 0.84 net=$    -7,747 DD=$   +9,809 | HOLD n=  125 win= 47.2% exp=$  -18.42 PF= 0.94 net=$    -2,302 DD=$   +7,646
  L=-0.50  | TUNE n=  156 win= 37.8% exp=$  -49.66 PF= 0.84 net=$    -7,747 DD=$   +9,809 | HOLD n=  126 win= 46.8% exp=$  -17.39 PF= 0.94 net=$    -2,191 DD=$   +8,128
  L=-0.25  | TUNE n=  158 win= 37.3% exp=$  -52.38 PF= 0.83 net=$    -8,276 DD=$   +9,797 | HOLD n=  132 win= 47.0% exp=$   -8.43 PF= 0.97 net=$    -1,112 DD=$   +6,859
  L=+0.00  | TUNE n=  165 win= 38.8% exp=$  -29.35 PF= 0.90 net=$    -4,843 DD=$  +10,112 | HOLD n=  133 win= 45.9% exp=$  -21.97 PF= 0.92 net=$    -2,922 DD=$   +8,113
  L=+0.25  | TUNE n=  168 win= 39.3% exp=$  -21.98 PF= 0.93 net=$    -3,692 DD=$  +10,285 | HOLD n=  136 win= 44.1% exp=$  -47.10 PF= 0.83 net=$    -6,405 DD=$  +10,929
  L=+0.50  | TUNE n=  169 win= 40.2% exp=$   +2.29 PF= 1.01 net=$      +388 DD=$   +8,672 | HOLD n=  140 win= 45.7% exp=$  -30.45 PF= 0.89 net=$    -4,262 DD=$   +9,134
  L=+0.75  | TUNE n=  172 win= 38.4% exp=$  -61.45 PF= 0.80 net=$   -10,569 DD=$  +12,077 | HOLD n=  142 win= 45.1% exp=$  -32.05 PF= 0.88 net=$    -4,552 DD=$   +9,417
  L=+1.00  | TUNE n=  178 win= 36.0% exp=$  -92.85 PF= 0.69 net=$   -16,527 DD=$  +16,527 | HOLD n=  147 win= 45.6% exp=$  -26.40 PF= 0.90 net=$    -3,881 DD=$   +9,358

=== 5m  policy=hybrid ===
  L=-1.00  | TUNE n=  254 win= 42.1% exp=$  +21.51 PF= 1.07 net=$    +5,465 DD=$   +9,763 | HOLD n=  230 win= 34.8% exp=$ -109.66 PF= 0.62 net=$   -25,222 DD=$  +27,721
  L=-0.75  | TUNE n=  255 win= 42.0% exp=$  +19.55 PF= 1.07 net=$    +4,986 DD=$  +10,173 | HOLD n=  230 win= 34.3% exp=$ -110.90 PF= 0.62 net=$   -25,507 DD=$  +28,007
  L=-0.50  | TUNE n=  255 win= 42.0% exp=$  +15.21 PF= 1.05 net=$    +3,878 DD=$   +9,978 | HOLD n=  233 win= 34.3% exp=$ -105.55 PF= 0.64 net=$   -24,594 DD=$  +27,094
  L=-0.25  | TUNE n=  257 win= 40.9% exp=$   +4.18 PF= 1.01 net=$    +1,073 DD=$   +9,330 | HOLD n=  234 win= 34.6% exp=$ -108.48 PF= 0.62 net=$   -25,384 DD=$  +27,883
  L=+0.00  | TUNE n=  261 win= 41.8% exp=$  +11.34 PF= 1.04 net=$    +2,961 DD=$   +9,947 | HOLD n=  239 win= 34.7% exp=$ -110.43 PF= 0.61 net=$   -26,393 DD=$  +28,893
  L=+0.25  | TUNE n=  268 win= 40.7% exp=$  -12.32 PF= 0.96 net=$    -3,303 DD=$  +13,305 | HOLD n=  243 win= 35.4% exp=$ -104.77 PF= 0.63 net=$   -25,460 DD=$  +26,637
  L=+0.50  | TUNE n=  274 win= 39.8% exp=$  -11.10 PF= 0.96 net=$    -3,040 DD=$  +11,388 | HOLD n=  248 win= 35.5% exp=$ -106.21 PF= 0.62 net=$   -26,339 DD=$  +27,210
  L=+0.75  | TUNE n=  276 win= 40.2% exp=$   -7.14 PF= 0.98 net=$    -1,970 DD=$   +9,565 | HOLD n=  256 win= 36.3% exp=$ -106.14 PF= 0.61 net=$   -27,171 DD=$  +27,532
  L=+1.00  | TUNE n=  284 win= 39.1% exp=$  -16.97 PF= 0.94 net=$    -4,820 DD=$  +11,964 | HOLD n=  266 win= 36.8% exp=$ -100.36 PF= 0.64 net=$   -26,696 DD=$  +28,225
