  tf  min   max  span     n   win%      exp$     PF   hold   ovn%        net$  bit?
----------------------------------------------------------------------------------------------------
  5m    0     0  TUNE   992   45.9     +1.72   1.01   30.4   13.4      +1,704  d0/r0/c0
  5m    0     0  HOLD  1011   48.4    +19.47   1.06   30.8   14.2     +19,689  d0/r0/c0
  5m   16     0  TUNE   995   45.6     -1.09   1.00   31.1   13.5      -1,083  d2121/r199/c0
  5m   16     0  HOLD  1011   48.3    +24.02   1.07   31.3   14.2     +24,288  d2274/r226/c0
  5m   32     0  TUNE   990   45.3     +0.43   1.00   32.1   13.8        +425  d5271/r184/c0
  5m   32     0  HOLD  1012   48.4    +33.18   1.10   31.9   14.1     +33,574  d6215/r230/c0
  5m   48     0  TUNE   987   45.6    +10.21   1.04   33.5   14.3     +10,079  d7718/r160/c0
  5m   48     0  HOLD  1017   48.4    +17.89   1.05   32.5   14.4     +18,189  d8994/r184/c0
  5m   64     0  TUNE   990   45.8     +5.66   1.02   33.7   13.6      +5,605  d9565/r146/c0
  5m   64     0  HOLD  1004   48.2    +18.87   1.05   33.3   14.5     +18,947  d10878/r156/c0
  5m    0    32  TUNE   972   47.4    -14.10   0.94   20.0    5.9     -13,702  d0/r0/c283
  5m    0    32  HOLD  1013   50.3    +30.26   1.10   20.8    6.4     +30,653  d0/r0/c321
  5m    0    64  TUNE  1005   45.9     -1.70   0.99   25.6    9.2      -1,712  d0/r0/c116
  5m    0    64  HOLD   999   49.0    +22.36   1.07   26.5   11.2     +22,336  d0/r0/c111
  5m    0   128  TUNE   993   45.7     -0.56   1.00   29.6   12.7        -560  d0/r0/c20
  5m    0   128  HOLD  1016   48.2    +15.22   1.04   30.2   13.6     +15,462  d0/r0/c17
  5m   32   128  TUNE   998   45.3     +0.66   1.00   31.6   13.2        +654  d5334/r185/c22
  5m   32   128  HOLD   998   48.3    +35.51   1.10   31.0   13.6     +35,441  d6079/r222/c13
  5m   32    64  TUNE  1011   45.5     -2.95   0.99   27.2    9.5      -2,984  d5346/r189/c116
  5m   32    64  HOLD   990   49.3    +30.98   1.09   28.1   11.6     +30,669  d6097/r227/c105

 10m    0     0  TUNE   574   45.3     -9.64   0.98   27.1   20.2      -5,533  d0/r0/c0
 10m    0     0  HOLD   477   45.9    +16.79   1.04   30.2   25.6      +8,009  d0/r0/c0
 10m   16     0  TUNE   574   45.3    -13.47   0.97   27.8   20.2      -7,732  d1297/r109/c0
 10m   16     0  HOLD   477   45.9    +29.20   1.06   30.6   25.6     +13,929  d1121/r89/c0
 10m   32     0  TUNE   557   46.1     -2.81   0.99   28.9   20.1      -1,563  d3016/r107/c0
 10m   32     0  HOLD   479   45.7    +21.02   1.05   31.2   26.1     +10,070  d2525/r88/c0
 10m   48     0  TUNE   570   45.8     -8.66   0.98   29.7   20.9      -4,936  d4540/r100/c0
 10m   48     0  HOLD   494   43.5    -52.15   0.90   31.3   25.7     -25,761  d3651/r76/c0
 10m   64     0  TUNE   549   46.1    +14.73   1.04   31.2   21.9      +8,085  d5762/r95/c0
 10m   64     0  HOLD   507   44.8    -14.62   0.97   32.7   25.2      -7,410  d4897/r71/c0
 10m    0    32  TUNE   576   46.2    -28.82   0.92   19.1    9.5     -16,601  d0/r0/c155
 10m    0    32  HOLD   523   49.1    +21.57   1.05   20.3   13.4     +11,281  d0/r0/c153
 10m    0    64  TUNE   566   44.9    -31.32   0.92   24.1   17.7     -17,729  d0/r0/c60
 10m    0    64  HOLD   494   46.6    +24.34   1.05   26.6   22.9     +12,026  d0/r0/c54
 10m    0   128  TUNE   574   45.3     -8.47   0.98   26.9   20.2      -4,862  d0/r0/c5
 10m    0   128  HOLD   477   45.9    +15.02   1.03   30.0   25.6      +7,165  d0/r0/c5
 10m   32   128  TUNE   557   46.1     -1.60   1.00   28.7   20.1        -892  d3016/r107/c5
 10m   32   128  HOLD   479   45.7    +19.26   1.04   30.9   26.1      +9,226  d2547/r89/c5
 10m   32    64  TUNE   567   44.4    -43.22   0.89   25.6   17.8     -24,504  d2976/r106/c61
 10m   32    64  HOLD   492   46.5    +20.95   1.05   27.7   23.4     +10,308  d2632/r91/c54

 20m    0     0  TUNE   310   48.7    +87.34   1.17   28.8   40.3     +27,076  d0/r0/c0
 20m    0     0  HOLD   289   50.2    +50.13   1.07   25.4   33.9     +14,487  d0/r0/c0
 20m   16     0  TUNE   310   48.7    +91.83   1.17   29.9   40.6     +28,468  d867/r61/c0
 20m   16     0  HOLD   289   50.2    +72.14   1.10   26.2   33.9     +20,847  d867/r68/c0
 20m   32     0  TUNE   310   48.7    +75.05   1.14   31.3   42.6     +23,265  d1874/r64/c0
